NAME,STATE,COUNTY,x,y
Chickaloon,AK,Matanuska-Susitna Borough,-148.445,61.794
Russian Mission,AK,Wade Hampton Census Area,-161.345,61.78
Red Devil,AK,Bethel Census Area,-157.35,61.763
Stony River,AK,Bethel Census Area,-156.604,61.755
Oskawalik,AK,Bethel Census Area,-158.236,61.748
Eska,AK,Matanuska-Susitna Borough,-148.91,61.742
Jonesville,AK,Matanuska-Susitna Borough,-148.921,61.727
Sutton,AK,Matanuska-Susitna Borough,-148.898,61.712
Sleetmute,AK,Bethel Census Area,-157.194,61.703
Moose Creek,AK,Matanuska-Susitna Borough,-149.036,61.673
Tonsina,AK,Valdez-Cordova Census Area,-145.178,61.656
Lower Tonsina,AK,Valdez-Cordova Census Area,-144.652,61.654
Houston,AK,Matanuska-Susitna Borough,-149.855,61.634
Palmer,AK,Matanuska-Susitna Borough,-149.114,61.595
Wasilla,AK,Matanuska-Susitna Borough,-149.452,61.583
Aniak,AK,Bethel Census Area,-159.575,61.575
Napaimiut,AK,Bethel Census Area,-158.712,61.553
Susitna,AK,Matanuska-Susitna Borough,-150.52,61.543
Lower Kalskag,AK,Bethel Census Area,-160.377,61.531
Matanuska,AK,Matanuska-Susitna Borough,-149.231,61.531
Hooper Bay,AK,Wade Hampton Census Area,-166.115,61.53
Chevak,AK,Wade Hampton Census Area,-165.61,61.527
Chitina,AK,Valdez-Cordova Census Area,-144.44,61.513
Cottonwood,AK,Matanuska-Susitna Borough,-149.583,61.501
Knik,AK,Matanuska-Susitna Borough,-149.735,61.461
Eklutna,AK,Anchorage Borough,-149.36,61.453
McCarthy,AK,Valdez-Cordova Census Area,-142.912,61.424
Alexander,AK,Matanuska-Susitna Borough,-150.6,61.415
Chugiak,AK,Anchorage Borough,-149.517,61.402
Lime Village,AK,Bethel Census Area,-155.474,61.353
May Creek,AK,Valdez-Cordova Census Area,-142.701,61.343
Eagle River,AK,Anchorage Borough,-149.578,61.317
Anchorage,AK,Anchorage Borough,-149.881,61.216
Nunaka Valley,AK,Anchorage Borough,-149.775,61.205
Spenard,AK,Anchorage Borough,-149.921,61.174
Valdez,AK,Valdez-Cordova Census Area,-146.339,61.134
Tuluksak,AK,Bethel Census Area,-160.977,61.093
Tyonek,AK,Kenai Peninsula Borough,-151.155,61.069
Old Tyonek,AK,Kenai Peninsula Borough,-151.294,61.044
Nyac,AK,Bethel Census Area,-159.962,61.007
Girdwood,AK,Anchorage Borough,-149.163,60.946
Newtok,AK,Bethel Census Area,-164.647,60.937
Akiak,AK,Bethel Census Area,-161.25,60.92
Hope,AK,Kenai Peninsula Borough,-149.63,60.915
Akiachak,AK,Bethel Census Area,-161.437,60.906
